v,t,cc,FH,eu
PC,4S,<=1400,G,PRE
PC,4S,1400_2000,G,PRE
PC,4S,>2000,G,PRE
PC,ECE_1501,<=1400,G,PRE
PC,ECE_1501,1400_2000,G,PRE
PC,ECE_1501,>2000,G,PRE
PC,ECE_1502,<=1400,G,PRE
PC,ECE_1502,1400_2000,G,PRE
PC,ECE_1502,>2000,G,PRE
PC,ECE_1503,<=1400,G,PRE
PC,ECE_1503,1400_2000,G,PRE
PC,ECE_1503,>2000,G,PRE
PC,ECE_1504,<=1400,G,PRE
PC,ECE_1504,1400_2000,G,PRE
PC,ECE_1504,>2000,G,PRE
PC,IMPROVED_CONVENTIONAL,<=1400,G,PRE
PC,IMPROVED_CONVENTIONAL,1400_2000,G,PRE
PC,IMPROVED_CONVENTIONAL,>2000,G,PRE
PC,OPEN_LOOP,<=1400,G,PRE
PC,OPEN_LOOP,1400_2000,G,PRE
PC,OPEN_LOOP,>2000,G,PRE
PC,4S,<=1400,G,I
PC,4S,1400_2000,G,I
PC,4S,>2000,G,I
PC,4S,<=1400,G,II
PC,4S,1400_2000,G,II
PC,4S,>2000,G,II
PC,4S,<=1400,G,III
PC,4S,1400_2000,G,III
PC,4S,>2000,G,III
PC,4S,<=800,G,IV
PC,4S,<=1400,G,IV
PC,4S,1400_2000,G,IV
PC,4S,>2000,G,IV
PC,4S,<=800,G,V
PC,4S,<=1400,G,V
PC,4S,1400_2000,G,V
PC,4S,>2000,G,V
PC,4S,<=800,G,VI
PC,4S,<=1400,G,VI
PC,4S,1400_2000,G,VI
PC,4S,>2000,G,VI
PC,4S,<=800,G,VIc
PC,4S,<=1400,G,VIc
PC,4S,1400_2000,G,VIc
PC,4S,>2000,G,VIc
PC,4S,<=1400,D,PRE
PC,4S,1400_2000,D,PRE
PC,4S,>2000,D,PRE
PC,4S,<=1400,D,I
PC,4S,1400_2000,D,I
PC,4S,>2000,D,I
PC,4S,<=1400,D,II
PC,4S,1400_2000,D,II
PC,4S,>2000,D,II
PC,4S,<=1400,D,III
PC,4S,1400_2000,D,III
PC,4S,>2000,D,III
PC,4S,<=1400,D,IV
PC,4S,1400_2000,D,IV
PC,4S,>2000,D,IV
PC,4S,<=1400,D,V
PC,4S,1400_2000,D,V
PC,4S,>2000,D,V
PC,4S,<=1400,D,VI
PC,4S,1400_2000,D,VI
PC,4S,>2000,D,VI
PC,4S,<=1400,D,VIc
PC,4S,1400_2000,D,VIc
PC,4S,>2000,D,VIc
PC,4S,<=1400,LPG,PRE
PC,4S,1400_2000,LPG,PRE
PC,4S,>2000,LPG,PRE
PC,4S,<=1400,LPG,I
PC,4S,1400_2000,LPG,I
PC,4S,>2000,LPG,I
PC,2S,<=1400,G,PRE
PC,2S,1400_2000,G,PRE
PC,2S,>2000,G,PRE
PC,2S,<=1400,G,I
PC,2S,1400_2000,G,I
PC,2S,>2000,G,I
PC,2S,<=1400,G,II
PC,2S,1400_2000,G,II
PC,2S,>2000,G,II
PC,2S,<=1400,G,III
PC,2S,1400_2000,G,III
PC,2S,>2000,G,III
PC,2S,<=1400,G,IV
PC,2S,1400_2000,G,IV
PC,2S,>2000,G,IV
PC,2S,<=1400,G,V
PC,2S,1400_2000,G,V
PC,2S,>2000,G,V
PC,2S,<=1400,G,VI
PC,2S,1400_2000,G,VI
PC,2S,>2000,G,VI
PC,2S,<=1400,G,VIc
PC,2S,1400_2000,G,VIc
PC,2S,>2000,G,VIc
PC,4S,<=1400,FH,IV
PC,4S,1400_2000,FH,IV
PC,4S,>2000,FH,IV
LCV,4S,<3.5,G,PRE
LCV,4S,<3.5,G,I
LCV,4S,<3.5,G,II
LCV,4S,<3.5,G,III
LCV,4S,<3.5,G,IV
LCV,4S,<3.5,G,V
LCV,4S,<3.5,G,VI
LCV,4S,<3.5,G,VIc
LCV,4S,<3.5,D,PRE
LCV,4S,<3.5,D,I
LCV,4S,<3.5,D,II
LCV,4S,<3.5,D,III
LCV,4S,<3.5,D,IV
LCV,4S,<3.5,D,V
LCV,4S,<3.5,D,VI
LCV,4S,<3.5,D,VIc
Moped,2S,<=50,G,PRE
Moped,2S,<=50,G,I
Moped,2S,<=50,G,II
Moped,2S,<=50,G,III
Moped,4S,<=50,G,PRE
Moped,4S,<=50,G,I
Moped,4S,<=50,G,II
Moped,4S,<=50,G,III
Motorcycle,2S,>=50,G,PRE
Motorcycle,2S,>=50,G,I
Motorcycle,2S,>=50,G,II
Motorcycle,2S,>=50,G,III
Motorcycle,4S,<=250,G,PRE
Motorcycle,4S,<=250,G,I
Motorcycle,4S,<=250,G,II
Motorcycle,4S,<=250,G,III
Motorcycle,4S,250_750,G,PRE
Motorcycle,4S,250_750,G,I
Motorcycle,4S,250_750,G,II
Motorcycle,4S,250_750,G,III
Motorcycle,4S,>=750,G,PRE
Motorcycle,4S,>=750,G,I
Motorcycle,4S,>=750,G,II
Motorcycle,4S,>=750,G,III
PC,4S,<=1400,D,III+DPF
PC,4S,1400_2000,D,III+DPF
PC,4S,>2000,D,III+DPF
